koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_time0bk,koi_impact,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_period_err,koi_time0bk_err,koi_impact_err,koi_duration_err,koi_depth_err,koi_prad_err,koi_insol_err,koi_steff_err,koi_slogg_err,koi_srad_err,koi_period_log,koi_duration_log,koi_depth_log,koi_prad_log,koi_teq_log,koi_insol_log,koi_model_snr_log,depth_to_snr_ratio,planet_to_star_radius_ratio,koi_disposition
1.0,0.0,0.0,0.0,0.0,170.53875,0.146,1.0,5455.0,4.467,0.927,15.347,3.9244426355853386e-05,0.003054701294725885,0.34991427521608776,0.11582409075835648,27.577164466275352,0.3001666203960727,33.83082913556805,114.5512985522207,0.11537764081484767,0.12143310915891102,2.3502351379506896,1.37561251277303,6.4245448222491195,1.1817271953786161,6.677083461247136,4.549551762225079,3.6054978451748854,17.20111683795763,2.43796932257894,1
0.969,0.0,0.0,0.0,0.0,162.51384,0.586,2.0,5455.0,4.467,0.927,15.347,0.0003505835421122903,0.004978031739553294,0.4469116243733206,0.16404877323527903,50.204581464244875,0.3721558813185679,3.2956486463213883,114.5512985522207,0.11537764081484767,0.12143310915891102,4.014911356403454,1.7060200102803444,6.775137754367298,1.3428648031925547,6.095824562432225,2.3135250330323798,3.288401887516811,33.90697542996219,3.0528553906630087,1
0.0,0.0,1.0,0.0,0.0,175.850252,0.969,1.0,5853.0,4.544,0.868,15.436,2.1128350621854038e-05,0.0008216580797387683,5.1265782935599455,0.048224682476922534,241.83051916579925,4.133098111586513,32.764641002153525,236.51638421048128,0.18141664752717707,0.24570917768776973,3.039708007406348,1.0232419816433331,9.290075339995036,2.747270914255491,6.459904454377535,3.696351468952637,4.3476939555933765,141.9266036444744,16.820257119519447,2
0.0,0.0,1.0,0.0,0.0,170.307565,1.276,1.0,5805.0,4.564,0.791,15.597,3.71938166904124e-07,0.00016263455967290594,0.14727185746095553,0.00759432682994352,18.10193359837562,8.95873316937166,707.4992756180037,234.3608329051593,0.1761618573925695,0.21187260323128143,1.0068450579675676,1.225658950803309,8.997171903684052,3.5397992310997837,7.241366283322318,6.7945417870401235,6.227721737567575,15.979430348141948,42.30083147808915,2
1.0,0.0,0.0,0.0,0.0,171.59555,0.701,1.0,6031.0,4.438,1.046,15.509,5.3188572080852105e-06,0.0015980613254815972,0.5326434079194071,0.05939696961967,23.900209204105305,0.9470480452437458,929.0854247592091,270.3368269400231,0.22135943621178655,0.3595066063370742,1.2600483021739617,0.9762563130415891,6.404070763367513,1.3217558399823195,7.249215057114389,6.832126150456476,3.735285826928092,14.750610886293133,2.6290605840720995,1
1.0,0.0,0.0,0.0,0.0,171.20116,0.538,1.0,6046.0,4.486,0.972,15.714,2.8793388129916218e-05,0.001994041122946064,0.4290501136231058,0.0862670273047588,34.2239682094289,1.3376471881628578,118.66765566067275,299.2407057871639,0.23528068344001385,0.33203915431767983,2.492735965551391,1.7217839722656387,7.325478284485803,1.589235205116581,6.728628613084702,4.751950917196286,4.212127597878484,22.819548529029348,4.012341551088939,1
1.0,0.0,0.0,0.0,0.0,172.97937,0.762,2.0,6046.0,4.486,0.972,15.714,1.4792673862422573e-05,0.002687005768508881,0.5498590728541269,0.0951765727477093,26.44579361637688,0.9486832980505138,442.0002249999427,299.2407057871639,0.23528068344001385,0.33203915431767983,1.635969831487176,1.4207440958491162,6.532334292222349,1.3270750014599193,7.057036981697891,6.060640735124765,3.7184382563554808,17.06467619242099,2.8497913067990672,1
0.992,0.0,0.0,0.0,0.0,179.55437,0.755,3.0,6046.0,4.486,0.972,15.714,2.5187143545864822e-05,0.006519524522539968,0.5643341208893894,0.2333452377915607,23.758787847867996,0.5470831746635972,834.8414987888419,299.2407057871639,0.23528068344001385,0.33203915431767983,1.2716096684503242,1.2322686734807833,5.427150238391005,0.9516578757114464,7.215975002651466,6.695477480978234,2.772588722239781,15.0999989933334,1.635800786213183,1
0.0,0.0,1.0,1.0,0.0,132.25053,1.169,1.0,6227.0,3.986,1.958,12.66,3.009446460729946e-05,0.0035779603128039306,7.133135705985131,0.19233304448274094,8.202438661763951,11.623742942787405,505.5486707528762,166.42415690037308,0.2067075228432676,0.5804937553497023,2.123672468781356,1.795419430059542,5.458308102856978,3.6941157209091826,7.202661196523238,6.644076150459651,3.885679030088544,4.89937096647021,20.025526033949934,2
1.0,0.0,0.0,0.0,0.0,173.621937,0.052,1.0,5031.0,4.485,0.848,15.841,1.5386643558619273e-05,0.0007311484117468901,0.2671104640406287,0.03408254685319159,47.093311627024065,0.5371219600798314,8.015435109836522,111.8659912573969,0.08759566199304622,0.07920227269466451,2.8372432565694368,1.511758929229005,8.500108068358424,1.9110228900548727,6.398594934535208,3.457892725338701,5.093136515607999,30.353921986695973,6.792444820230164,1
0.811,0.0,0.0,0.0,0.0,122.763305,0.818,1.0,5820.0,4.457,0.964,11.338,3.8183766184073565e-08,1.2303657992645927e-05,0.001414213562373095,0.0015132085117392118,5.939696961966999,0.7212489168102785,143.00539045784254,110.30865786510141,0.03394112549695428,0.05374011537017761,1.244331344043603,1.009121476782268,9.563248229345671,2.641910398597665,7.200424892944957,6.636550048089151,8.367602100844996,3.3062286542977417,13.526956922243857,1
1.0,0.0,1.0,0.0,0.0,121.3585417,0.224,1.0,6440.0,4.019,1.952,10.463,6.081118318204309e-08,2.262741699796952e-05,0.2682107380400718,0.002870853531617383,2.4041630560342613,1.2182774724995944,923.519041330497,117.0341830406826,0.04263801121065569,0.14798986451781082,1.1646295337668027,1.586914146195221,8.806229346683947,2.8390784635086144,7.6251071482389,8.330844335930504,8.690625354364276,1.1225718560482734,8.247946594289656,1
0.998,0.0,0.0,0.0,0.0,121.1194228,0.631,1.0,6225.0,4.169,1.451,13.563,2.800142853498728e-07,6.660945878777277e-05,0.009899494936611667,0.009234814562296311,9.333809511662427,1.5697770542341356,413.31763003772295,176.9547964876906,0.07106335201775947,0.15556349186104046,1.509064590913013,1.434710645881317,9.12114843747994,2.7466296830696852,7.3277805384216315,7.143356905218376,7.463076142634679,5.251622161784885,10.055127460284314,1
1.0,0.0,0.0,0.0,0.0,133.98318,0.051,2.0,5833.0,4.407,1.022,12.772,9.243299843670549e-06,0.002022325394193526,0.398278796824536,0.06038691911333116,4.242640687119285,0.20808652046684814,237.12623895301002,157.20687007888682,0.14220056258679148,0.17860011198204775,1.5495210372059527,1.2892877431777403,4.883559211528279,0.7701082216960736,7.095893221097532,6.217523843503089,3.9435216724875173,2.590909039705355,1.135028243612286,1
0.0,0.0,1.0,0.0,0.0,170.839688,2.483,1.0,5795.0,4.554,0.848,15.472,2.8001428534987283e-06,0.00018526197667087548,2.9293565846444847,0.016122034611053285,45.11341263970173,41.92867395947551,62.19029023891109,231.53617427952807,0.17906702655709675,0.23622235287965448,2.527442859321793,1.5346928142817842,9.797293356129725,5.020651629371744,6.625392368007956,4.342245764662037,6.434707019550176,28.90853555873889,177.48799824528507,2
0.0,0.0,1.0,0.0,0.0,172.484253,0.804,1.0,5043.0,4.591,0.68,15.487,2.9245936469875602e-05,0.001190767819518146,0.008602325267042627,0.08456997102991108,75.37758287448597,1.019803902718557,8.256512580987206,213.54624791833734,0.08653323061113574,0.097,3.0157279096737497,2.581390383133157,9.096017592721482,2.1016921506146558,6.261491684321042,2.9279886214674717,5.373888553395111,41.54028858155432,10.558808001752936,2
0.0,0.0,1.0,0.0,0.0,184.5521637,1.065,1.0,6117.0,4.496,0.947,15.341,1.5881618305449858e-06,6.363961030678928e-05,0.04601086828130936,0.0033234018715767736,30.97127701597078,16.79169139783125,56.96193904705141,270.4144966528237,0.21440149253211835,0.3226143208228674,3.0067409027267433,1.7575871912541436,11.215664326071453,3.9178062501838733,6.54965074223381,4.042524813492304,7.748460023899697,32.06042294688804,52.04851948413993,2
0.0,0.0,1.0,0.0,0.0,180.881761,0.292,1.0,5152.0,4.517,0.786,15.788,1.9247446583897826e-05,0.0008810550493584382,0.15532224567009068,0.08485281374238571,56.427121138686495,1.2586500705120547,14.954203422449488,227.22895942198917,0.11370136322841516,0.12445079348883235,2.86047583618068,2.3454338322788857,9.257223957875032,2.190535589185423,6.39024066706535,3.421326752957321,5.718342625987531,34.538562839358725,10.101768318360918,2
1.0,0.0,0.0,0.0,0.0,173.258155,0.387,1.0,4856.0,4.583,0.696,15.302,1.4665394641808998e-05,0.0012402652942012044,0.3860207248322297,0.04369919907732864,23.758787847867996,0.3124099870362662,17.114032254264334,196.1555505204989,0.073824115301167,0.08809086218218097,2.329575719711571,1.4557038124920583,7.1618547144167914,1.244154593958768,6.476972362889683,3.7577056450437887,4.4796069630127455,14.774082399379788,3.5488454757967305,1
1.0,0.0,0.0,0.0,0.0,171.602959,0.258,1.0,4537.0,4.648,0.672,15.784,7.79090251511338e-06,0.0010083342699720168,0.3240061727807049,0.04398204178980326,48.648946545634466,0.3001666203960727,19.146132768786494,173.9482681718907,0.05946427498927403,0.07169379331573968,1.9500875956481645,0.9486030213414015,7.556793819916019,1.3480731482996928,6.520621127558696,3.9326096390365346,4.1956970564823886,29.246176922841332,4.241065117462623,1
0.0,0.0,1.0,1.0,1.0,170.73769,0.044,1.0,4989.0,4.504,0.819,15.269,1.0654684978918899e-05,0.0033092597359530426,0.3626789213615812,0.09701505037879432,13.435028842544403,0.20615528128088303,129.58456119461144,210.71782079359116,0.10816653826391967,0.10589145385724005,1.307351433383305,1.528856726473817,5.988710758911361,0.9477893989335261,6.9726062513017535,5.7246955962364074,3.8958936234982624,8.25518655072227,1.9291795736513144,2
1.0,0.0,0.0,0.0,0.0,171.80694,0.092,1.0,5185.0,4.44,0.91,15.416,1.2493162610003923e-05,0.0017960512242138308,0.3802959373961284,0.06660945878777277,20.930360723121808,0.2884441020371191,51.788280527547926,114.69088891450794,0.10783784122468328,0.10317460927960909,1.8483845457115093,1.3932203211906238,6.723832440821209,1.2669476034873244,6.824373670043086,5.135739611790679,4.120661870539474,13.712871060843712,2.8021947228629416,1
0.98,0.0,0.0,0.0,0.0,136.08662,0.226,2.0,5185.0,4.44,0.91,15.416,1.547149637236166e-05,0.0032951176003293116,0.33185087012090236,0.1042275395468971,19.65756851698602,0.194164878389476,77.57686897522997,114.69088891450794,0.10783784122468328,0.10317460927960909,1.5975783064946916,1.2804893022229142,5.897977704014518,0.9932517730102833,6.926577033222725,5.537924643892912,3.3978584803966405,12.570933821074956,1.8681298152419612,1
0.971,0.0,0.0,0.0,0.0,132.8031,0.025,3.0,5185.0,4.44,0.91,15.416,9.598267447826196e-05,0.01012576910659136,0.42573465914816,0.2800142853498728,23.758787847867996,0.15,29.731769204001296,114.69088891450794,0.10783784122468328,0.10317460927960909,2.2092682129471237,1.5251863599865092,5.38632824387075,0.832909122935104,6.68586094706836,4.585273554273635,2.714694743820879,15.418438622805773,1.4285698587144409,1
0.334,0.0,1.0,0.0,0.0,166.342079,0.9765,1.0,5543.0,4.081,1.58,12.394,0.0001936058366888767,0.00042284985514955543,0.056465299078283473,0.02602152954766495,64.77098115668775,2.3758787847867997,0.3538361202590827,111.72287142747452,0.019798989873223333,0.09050966799187808,5.959981756146585,2.0548542360444926,10.123746948670474,3.7495040759303713,5.697093486505405,1.0438040521731147,6.902742737158593,25.077464763503556,26.26580616088218,2
1.0,0.0,0.0,0.0,0.0,171.53594,0.896,1.0,4954.0,4.5,0.828,15.377,9.913637072235396e-05,0.003648670990922585,0.6630754104926528,0.09277240969167505,38.32518754031088,0.25942243542145693,4.708333038348073,111.72287142747452,0.07762087348130012,0.07244998274671982,3.121350839110908,1.4941392880706375,6.7548371725574246,1.3737155789130306,6.274762021241939,2.97756830292632,3.563882963939251,24.991252915706916,3.5627976294714623,1
1.0,0.0,0.0,0.0,0.0,171.74208,0.71,1.0,5339.0,4.552,0.847,15.861,1.964342638136229e-05,0.0030971277015970785,0.5330337700371338,0.10776307345282984,56.144278426211876,0.56859475903318,110.41749499060373,236.4444966583067,0.14018559127100047,0.1751627814348699,1.7912226051423177,1.1542677217462687,6.841294912281867,1.3297240096314962,6.822197390620491,5.123666316058301,3.374168709274236,33.14538889555359,3.2821684980301082,1
1.0,0.0,0.0,0.0,0.0,171.89659,0.424,1.0,5644.0,4.564,0.831,15.356,8.684685486533178e-06,0.0016263455967290594,0.3732023579775455,0.05939696961967,19.94041122946064,0.6103277807866851,192.927032838843,227.29936207565564,0.17102046661145562,0.21819715855161817,1.6641085818245085,1.3545456628053103,6.622470331130078,1.1939224684724346,6.920671504248683,5.5169306717757145,4.139955073474153,12.148867117332248,2.767746368536259,1
0.0,0.0,0.0,1.0,0.0,170.998064,0.86,1.0,5714.0,4.563,0.831,15.525,6.646803743153546e-07,0.0003478965363437814,0.13186735759845952,0.06830651506262049,25.88010819142764,1.101680534456337,761.4233497864378,231.53617427952807,0.16492422502470644,0.20247468977627797,0.9188291433798816,0.9224715909492361,7.701968768276886,1.7101878155342434,7.2813856635702825,6.961409783517629,5.2045559867335625,12.21258966199564,5.451256978030111,2
